Id;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
12976;XY.114842;Quercus petraea (Mattuschka) Liebl.;11,3;9,4;31;71,14;27,3;-2,2;29,5;7;3,2;20,3;2;1115;122;70;18;346;219;276;252;102;181;0
12977;XY.114845;Quercus petraea (Mattuschka) Liebl.;11,5;9,4;31;70,89;27,5;-2;29,5;7,2;3,5;20,5;2,2;1102;121;69;18;343;216;272;249;64;140;2
12978;XY.114850;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71,02;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1116;122;70;18;348;219;275;253;98;161;1
12979;XY.114860;Quercus petraea (Mattuschka) Liebl.;10,8;9,1;31;69,87;26,4;-2,5;28,9;6,7;6;19,6;1,6;1196;132;77;18;378;239;287;278;206;173;3
12980;XY.114881;Fraxinus ornus L.;10,7;7;28;63,49;24,4;-0,4;24,8;11,6;3,3;18,9;2,8;1284;144;86;17;405;267;293;298;218;505;4
12981;XY.114883;Fraxinus ornus L.;11,4;6,9;27;63,35;25;0,3;24,7;12,3;4;19,6;3,6;1269;143;85;18;402;265;287;296;206;547;4
12982;XY.114905;Fraxinus ornus L.;10,8;6,9;27;63,4;24,4;-0,3;24,7;11,7;3,4;19;2,9;1275;143;85;17;401;263;294;293;189;669;4
12983;XY.114910;Fraxinus ornus L.;11,2;7;28;63,58;25;0,1;24,9;12,1;3,8;19,5;3,3;1278;144;86;18;405;268;287;300;282;557;6
12984;XY.114962;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;215;322;5
12985;XY.114967;Quercus petraea (Mattuschka) Liebl.;10,3;9;31;70,1;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1214;133;79;18;381;243;294;280;166;362;4
12986;XY.114975;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
12987;XY.114981;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
12988;XY.114992;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
12989;XY.114993;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
12990;XY.114998;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;56;400;0
12991;XY.115005;Quercus petraea (Mattuschka) Liebl.;9,9;8,9;30;70,15;25,6;-3,2;28,8;5,8;1,8;18,8;0,8;1231;135;80;18;385;246;300;283;240;403;3
12992;XY.115011;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;263;403;5
12993;XY.115015;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;263;403;5
12994;XY.115021;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
12995;XY.115022;Quercus petraea (Mattuschka) Liebl.;9,9;8,9;30;70,15;25,6;-3,2;28,8;5,8;1,8;18,8;0,8;1231;135;80;18;385;246;300;283;240;403;3
12996;XY.115023;Quercus petraea (Mattuschka) Liebl.;9,9;8,9;30;70,15;25,6;-3,2;28,8;5,8;1,8;18,8;0,8;1231;135;80;18;385;246;300;283;240;403;3
12999;XY.115117;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1226;134;80;18;384;245;298;282;209;422;3
13000;XY.115118;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1226;134;80;18;384;245;298;282;215;322;5
13001;XY.115119;Quercus petraea (Mattuschka) Liebl.;10,6;9,1;31;70,18;26,4;-2,6;29;6,5;2,5;19,5;1,5;1203;133;78;18;380;241;290;278;202;298;5
13002;XY.115121;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1226;134;80;18;384;245;298;282;215;322;5
13003;XY.115122;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;215;322;5
13004;XY.115123;Quercus petraea (Mattuschka) Liebl.;10,6;9,1;31;70,18;26,4;-2,6;29;6,5;2,5;19,5;1,5;1203;133;78;18;380;241;290;278;214;215;4
13005;XY.115135;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
13006;XY.115140;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
13007;XY.115151;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;266;225;5
13009;XY.114411;Fraxinus ornus L.;10,2;6,9;27;63,49;23,9;-0,9;24,8;11,1;2,8;18,4;2,3;1288;144;86;17;405;267;297;296;271;678;2
13010;XY.114506;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
13011;XY.114519;Quercus petraea (Mattuschka) Liebl.;11,1;9,2;31;70,4;26,9;-2,2;29,1;6,9;3;20;1,9;1190;132;76;19;377;237;286;275;266;225;5
13012;XY.114548;Quercus petraea (Mattuschka) Liebl.;11,3;9,1;31;68,57;26,9;-1,6;28,5;7,4;6,5;20;2,4;1223;141;82;21;406;253;267;302;75;210;1
13013;XY.114666;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,93;26,9;-1,7;28,6;7,2;6,5;20;2,3;1217;140;81;21;403;250;268;299;75;210;1
13014;XY.114667;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,58;26,9;-1,6;28,5;7,4;6,6;20,1;2,4;1218;141;81;21;405;250;267;299;75;210;1
13015;XY.114669;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,93;26,9;-1,7;28,6;7,2;6,5;20;2,3;1217;140;81;21;403;250;268;299;337;210;0
13016;XY.114681;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,58;26,9;-1,6;28,5;7,4;6,6;20,1;2,4;1218;141;81;21;405;250;267;299;75;210;1
13017;XY.114683;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,58;26,9;-1,6;28,5;7,4;6,6;20,1;2,4;1218;141;81;21;405;250;267;299;75;210;1
13018;XY.114715;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71;27,3;-2,1;29,4;7,1;3,3;20,4;2,1;1117;122;70;18;347;219;276;252;264;134;0
13019;XY.114719;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71;27,3;-2,1;29,4;7,1;3,3;20,4;2,1;1117;122;70;18;347;219;276;252;264;134;0
13020;XY.114729;Quercus petraea (Mattuschka) Liebl.;11,3;9,4;31;71,14;27,3;-2,2;29,5;7;3,2;20,3;2;1115;122;70;18;346;219;276;252;202;154;1
13021;XY.114732;Quercus petraea (Mattuschka) Liebl.;11,2;9,3;31;71,12;27,1;-2,3;29,4;6,9;3,1;20,2;1,9;1117;121;70;18;345;218;279;251;202;154;1
13022;XY.114738;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71,02;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1116;122;70;18;348;219;275;253;0;140;0
13023;XY.114743;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71,02;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1116;122;70;18;348;219;275;253;0;140;0
13024;XY.114744;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71,02;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1116;122;70;18;348;219;275;253;98;161;1
13025;XY.114750;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71,02;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1116;122;70;18;348;219;275;253;98;161;1
13026;XY.114772;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,58;26,9;-1,6;28,5;7,4;6,6;20,1;2,4;1218;141;81;21;405;250;267;299;75;210;1
13027;XY.114773;Quercus petraea (Mattuschka) Liebl.;11,3;9,2;32;68,58;26,9;-1,6;28,5;7,4;6,6;20,1;2,4;1218;141;81;21;405;250;267;299;75;210;1
13028;XY.114784;Quercus petraea (Mattuschka) Liebl.;11,4;9,2;32;68,62;26,9;-1,6;28,5;7,4;6,6;20,1;2,4;1218;141;81;21;404;250;268;299;127;223;1
13029;XY.114831;Quercus petraea (Mattuschka) Liebl.;11,3;9,4;31;71,14;27,3;-2,2;29,5;7;3,2;20,3;2;1115;122;70;18;346;219;276;252;132;156;1
13030;XY.114833;Quercus petraea (Mattuschka) Liebl.;11,3;9,4;31;71,14;27,3;-2,2;29,5;7;3,2;20,3;2;1115;122;70;18;346;219;276;252;102;181;0
13031;XY.114895;Fraxinus ornus L.;10,1;7;28;63,67;23,8;-1;24,8;11;2,7;18,3;2,1;1288;143;86;17;403;264;302;292;206;547;4
13032;XY.114920;Fraxinus ornus L.;11,2;7;28;63,58;25;0,1;24,9;12,1;3,8;19,5;3,3;1278;144;86;18;405;268;287;300;10;668;3
13033;XY.115844;Carpinus betulus L.;11,3;9,4;31;71,24;27,2;-2,3;29,5;11,8;3,2;20,3;2;1117;120;69;18;343;215;283;247;95;128;1
13034;XY.115849;Carpinus betulus L.;11,2;9,3;31;71,27;27,2;-2,4;29,6;6,9;3,1;20,2;1,9;1116;120;69;18;343;215;282;248;110;161;2
13035;XY.115850;Carpinus betulus L.;11,3;9,4;31;71,14;27,2;-2,3;29,5;7;3,2;20,3;2;1115;120;69;18;343;215;281;248;110;161;2
13036;XY.115860;Carpinus betulus L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1092;118;67;18;335;210;277;242;111;113;0
13037;XY.115865;Carpinus betulus L.;11,2;9,3;31;71,17;27,2;-2,3;29,5;6,9;3,1;20,2;1,9;1123;122;70;18;348;219;279;253;258;165;1
13038;XY.115873;Carpinus betulus L.;11,5;9,4;31;71,42;27,5;-2,1;29,6;7,2;3,4;20,6;2,2;1096;119;68;18;338;212;275;244;203;111;0
13039;XY.115875;Carpinus betulus L.;11,5;9,4;31;71,42;27,5;-2,1;29,6;7,2;3,4;20,6;2,2;1096;119;68;18;338;212;275;244;203;111;0
13040;XY.125056;Carpinus betulus L.;10,6;9,3;32;68,9;26,2;-2,5;28,7;6,5;5,9;19,3;1,5;1183;137;80;20;389;248;262;293;253;299;2
13041;XY.125058;Carpinus betulus L.;10,6;9,3;32;69,12;26,3;-2,5;28,8;6,5;6;19,3;1,5;1179;136;80;20;387;247;262;290;352;285;0
13042;XY.125067;Carpinus betulus L.;10,6;9,3;32;68,86;26,3;-2,4;28,7;6,6;5,9;19,3;1,5;1181;137;79;20;389;248;260;293;236;271;1
13043;XY.125077;Carpinus betulus L.;10,7;9,3;32;68,8;26,3;-2,4;28,7;6,6;6;19,3;1,6;1181;138;78;20;392;250;256;296;236;385;1
13044;XY.125080;Carpinus betulus L.;10;9,1;31;68,55;25,6;-2,9;28,5;6;5,3;18,6;1;1214;141;81;20;402;259;265;304;236;385;1
13045;XY.125087;Carpinus betulus L.;10,7;9,3;32;68,87;26,3;-2,3;28,6;6,6;6;19,4;1,6;1181;138;78;20;392;249;257;295;32;297;4
13046;XY.125097;Carpinus betulus L.;10,6;9,3;32;68,9;26,2;-2,5;28,7;6,5;5,9;19,3;1,5;1183;137;80;20;389;248;262;293;300;306;1
13047;XY.125108;Carpinus betulus L.;10,3;9,2;32;69,01;25,9;-2,8;28,7;6,3;5,6;19;1,2;1190;137;81;19;390;251;264;295;221;359;0
13048;XY.125112;Carpinus betulus L.;10,6;9,3;32;69,07;26,2;-2,5;28,7;6,5;6;19,3;1,5;1179;137;79;20;389;248;259;293;202;273;1
13049;XY.125115;Carpinus betulus L.;10,3;9,2;31;69,23;26;-2,8;28,8;6,2;5,6;19;1,2;1188;137;81;19;389;250;264;293;17;319;2
13050;XY.125123;Carpinus betulus L.;10,3;9,2;32;69,01;25,9;-2,8;28,7;6,3;5,6;19;1,2;1190;137;81;19;390;251;264;295;221;359;0
13051;XY.125124;Carpinus betulus L.;10;9,1;31;68,55;25,6;-2,9;28,5;6;5,3;18,6;1;1214;141;81;20;402;259;265;304;96;422;3
13052;XY.125128;Carpinus betulus L.;9,9;9,1;31;68,72;25,4;-3,1;28,5;5,8;5,2;18,5;0,8;1221;142;81;20;405;262;265;307;27;336;4
13053;XY.125130;Carpinus betulus L.;10,6;9,3;32;68,53;26,3;-2,4;28,7;6,5;6;19,3;1,6;1181;138;78;20;393;250;256;297;108;349;2
13054;XY.125131;Carpinus betulus L.;10,6;9,3;32;68,71;26,3;-2,4;28,7;6,5;6;19,3;1,6;1179;138;78;20;391;249;257;294;44;315;3
13055;XY.125132;Carpinus betulus L.;10,6;9,3;32;68,53;26,3;-2,4;28,7;6,5;6;19,3;1,6;1181;138;78;20;393;250;256;297;96;422;3
13056;XY.125135;Carpinus betulus L.;10,7;9,3;32;69,03;26,3;-2,4;28,7;6,6;6;19,4;1,6;1176;137;79;20;388;248;258;293;202;273;1
13057;XY.125136;Carpinus betulus L.;10,7;9,3;32;69,03;26,3;-2,4;28,7;6,6;6;19,4;1,6;1176;137;79;20;388;248;258;293;324;226;0
13058;XY.125143;Carpinus betulus L.;10,7;9,3;32;69,03;26,3;-2,4;28,7;6,6;6;19,4;1,6;1176;137;79;20;388;248;258;293;240;278;1
13059;XY.125144;Carpinus betulus L.;10,7;9,4;32;68,77;26,5;-2,4;28,9;6,7;6,1;19,4;1,7;1171;137;78;20;388;246;256;292;254;260;1
13060;XY.125148;Carpinus betulus L.;10,7;9,3;32;69,03;26,3;-2,4;28,7;6,6;6;19,4;1,6;1176;137;79;20;388;248;258;293;240;278;1
13061;XY.125149;Carpinus betulus L.;10,7;9,4;32;68,77;26,5;-2,4;28,9;6,7;6,1;19,4;1,7;1171;137;78;20;388;246;256;292;254;260;1
13062;XY.125157;Carpinus betulus L.;10,5;9,3;32;69,02;26,1;-2,6;28,7;6,5;5,9;19,2;1,4;1179;137;80;20;388;248;261;292;178;299;0
13063;XY.115542;Carpinus betulus L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13064;XY.115554;Carpinus betulus L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13065;XY.115558;Carpinus betulus L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;154;114;0
13066;XY.115559;Carpinus betulus L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13067;XY.115560;Carpinus betulus L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13068;XY.115658;Carpinus betulus L.;11,1;9,3;31;71,07;27;-2,4;29,4;6,8;3;20,1;1,8;1121;121;70;18;345;218;281;251;209;198;0
13069;XY.115659;Carpinus betulus L.;11,1;9,3;31;71,07;27;-2,4;29,4;6,8;3;20,1;1,8;1121;121;70;18;345;218;281;251;357;194;2
13070;XY.115685;Carpinus betulus L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1092;118;67;18;335;210;277;242;111;113;0
13071;XY.115690;Carpinus betulus L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1092;118;67;18;335;210;277;242;111;113;0
13072;XY.115691;Carpinus betulus L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1092;118;67;18;335;210;277;242;240;120;0
13073;XY.115692;Carpinus betulus L.;11,3;9,4;31;71,29;27,3;-2,3;29,6;7;3,2;20,3;2;1109;120;69;18;342;215;278;248;38;168;2
13074;XY.115986;Fagus sylvatica L.;11,3;9,4;31;71,29;27,3;-2,3;29,6;7;3,2;20,3;2;1109;120;69;18;342;215;278;248;357;194;2
13075;XY.115987;Fagus sylvatica L.;11,3;9,4;31;71,29;27,3;-2,3;29,6;7;3,2;20,3;2;1109;120;69;18;342;215;278;248;38;168;2
13076;XY.115992;Fagus sylvatica L.;11,4;9,4;31;71;27,3;-2,1;29,4;7,1;3,3;20,4;2,1;1117;122;70;18;347;219;276;252;271;142;0
13077;XY.115993;Fagus sylvatica L.;11,4;9,4;31;71;27,3;-2,1;29,4;7,1;3,3;20,4;2,1;1117;122;70;18;347;219;276;252;264;134;0
13078;XY.115996;Fagus sylvatica L.;11,4;9,4;31;71;27,3;-2,1;29,4;7,1;3,3;20,4;2,1;1117;122;70;18;347;219;276;252;271;142;0
13079;XY.115998;Fagus sylvatica L.;11,2;9,3;31;71,27;27,2;-2,4;29,6;6,9;3,1;20,2;1,9;1116;120;69;18;343;215;282;248;87;206;2
13080;XY.116019;Fagus sylvatica L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1092;118;67;18;335;210;277;242;240;120;0
13081;XY.116046;Fagus sylvatica L.;11;9,3;31;70,96;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1137;122;71;18;349;221;286;254;115;235;2
13082;XY.116047;Fagus sylvatica L.;11,3;9,4;31;71,95;27,4;-2,4;29,8;11,8;3,2;20,4;1,9;1090;116;66;18;332;207;281;238;178;144;0
13083;XY.116048;Fagus sylvatica L.;11,3;9,4;31;71,95;27,4;-2,4;29,8;11,8;3,2;20,4;1,9;1090;116;66;18;332;207;281;238;178;144;0
13084;XY.116049;Fagus sylvatica L.;11,3;9,4;31;71,95;27,4;-2,4;29,8;11,8;3,2;20,4;1,9;1090;116;66;18;332;207;281;238;178;144;0
13085;XY.116050;Fagus sylvatica L.;11,2;9,4;31;71,9;27,3;-2,5;29,8;11,7;3;20,3;1,8;1102;117;67;18;335;210;284;241;178;144;0
13086;XY.116051;Fagus sylvatica L.;11,2;9,4;31;71,9;27,3;-2,5;29,8;11,7;3;20,3;1,8;1102;117;67;18;335;210;284;241;178;144;0
13087;XY.116052;Fagus sylvatica L.;11,3;9,4;31;71,95;27,4;-2,4;29,8;11,8;3,2;20,4;1,9;1090;116;66;18;332;207;281;238;178;144;0
13088;XY.116053;Fagus sylvatica L.;11,3;9,4;31;71,95;27,4;-2,4;29,8;11,8;3,2;20,4;1,9;1090;116;66;18;332;207;281;238;178;144;0
13089;XY.116054;Fagus sylvatica L.;11,3;9,4;31;71,95;27,4;-2,4;29,8;11,8;3,2;20,4;1,9;1090;116;66;18;332;207;281;238;178;144;0
13090;XY.116060;Fagus sylvatica L.;11,2;9,4;31;71,9;27,3;-2,5;29,8;11,7;3;20,3;1,8;1102;117;67;18;335;210;284;241;128;142;0
13091;XY.116067;Fagus sylvatica L.;10,3;9;31;70,1;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1214;133;79;18;381;243;294;280;202;298;5
13092;XY.116088;Fagus sylvatica L.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;263;403;5
13093;XY.116088;Fagus sylvatica L.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;263;403;5
13094;XY.116089;Fagus sylvatica L.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;263;403;5
13095;XY.125283;Fagus sylvatica L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;118;254;4
13096;XY.125290;Fagus sylvatica L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;118;254;4
13097;XY.125293;Fagus sylvatica L.;10,7;9,1;31;70,42;26,5;-2,6;29,1;6,6;2,6;19,6;1,5;1191;131;77;18;375;238;288;275;118;254;4
13098;XY.125294;Fagus sylvatica L.;10,6;9,1;31;70,29;26,4;-2,6;29;6,5;2,5;19,5;1,4;1192;131;77;18;375;238;289;275;118;254;4
13099;XY.125302;Fagus sylvatica L.;10,9;9,2;31;70,95;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1158;126;73;18;361;227;286;262;124;255;0
13100;XY.125308;Fagus sylvatica L.;10,9;9,2;31;70,76;26,7;-2,5;29,2;6,7;2,8;19,8;1,6;1159;126;73;18;361;227;287;262;150;248;3
13101;XY.125310;Fagus sylvatica L.;10,9;9,2;31;70,95;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1158;126;73;18;361;227;286;262;100;188;1
13102;XY.125312;Fagus sylvatica L.;10,9;9,2;31;70,76;26,7;-2,5;29,2;6,7;2,8;19,8;1,6;1159;126;73;18;361;227;287;262;150;248;3
13103;XY.125319;Fagus sylvatica L.;10,9;9,2;31;70,95;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1158;126;73;18;361;227;286;262;100;188;1
13104;XY.125322;Fagus sylvatica L.;11,2;9,3;31;70,57;27;-2,2;29,2;7;3,2;20,1;2;1149;126;73;18;359;226;282;261;88;220;1
13105;XY.125334;Fagus sylvatica L.;10,9;9,2;31;70,76;26,7;-2,5;29,2;6,7;2,8;19,8;1,6;1159;126;73;18;361;227;287;262;150;248;3
13106;XY.125336;Fagus sylvatica L.;10,9;9,2;31;70,95;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1158;126;73;18;361;227;286;262;100;188;1
13107;XY.125343;Fagus sylvatica L.;10,9;9,2;31;70,65;26,7;-2,5;29,2;6,7;2,8;19,8;1,6;1158;126;73;18;361;227;286;262;88;220;1
13108;XY.125345;Fagus sylvatica L.;10,9;9,2;31;70,65;26,7;-2,5;29,2;6,7;2,8;19,8;1,6;1158;126;73;18;361;227;286;262;88;220;1
13109;XY.125351;Fagus sylvatica L.;11,2;9,3;31;70,57;27;-2,2;29,2;7;3,2;20,1;2;1146;125;73;18;358;226;281;261;89;222;0
13110;XY.125353;Fagus sylvatica L.;11;9,2;31;70,89;26,9;-2,4;29,3;6,8;2,9;20;1,8;1146;125;72;18;356;224;285;258;138;197;3
13111;XY.115554;Fagus sylvatica L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13112;XY.115556;Fagus sylvatica L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13113;XY.115558;Fagus sylvatica L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;154;114;0
13114;XY.115559;Fagus sylvatica L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13115;XY.115560;Fagus sylvatica L.;11,4;9,4;31;71,15;27,3;-2,2;29,5;7,2;3,3;20,4;2,1;1114;121;70;18;345;217;277;251;305;179;1
13116;XY.114926;Fraxinus ornus L.;11,2;7;28;63,58;25;0,1;24,9;12,1;3,8;19,5;3,3;1278;144;86;18;405;268;287;300;282;557;6
13117;XY.114982;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,1;26,2;-2,6;28,8;6,4;2,5;19,4;1,4;1211;134;78;18;382;242;292;280;263;403;5
13118;XY.114983;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
13119;XY.114985;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
13120;XY.115081;Fraxinus ornus L.;9,9;7,1;28;63,71;23,6;-1,4;25;10,8;2,5;18,1;1,9;1274;140;83;16;395;255;310;279;132;674;1
13121;XY.115082;Fraxinus ornus L.;9,9;7,1;28;63,71;23,6;-1,4;25;10,8;2,5;18,1;1,9;1274;140;83;16;395;255;310;279;132;674;1
13123;XY.115156;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
13124;XY.115157;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
13125;XY.115158;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;266;225;5
13126;XY.115159;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;266;225;5
13127;XY.115162;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
13128;XY.115163;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
13129;XY.115163;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
13130;XY.115260;Fraxinus ornus L.;10,1;7;28;63,3;23,8;-1;24,8;11;2,8;18,3;2,2;1289;144;86;17;405;267;298;296;243;685;2
13131;XY.115262;Fraxinus ornus L.;10,1;7;28;63,3;23,8;-1;24,8;11;2,8;18,3;2,2;1289;144;86;17;405;267;298;296;21;680;0
13132;XY.115285;Fraxinus ornus L.;8,8;7;28;63,43;22,5;-2,4;24,9;9,6;1,4;17;0,9;1282;140;83;16;394;254;318;276;45;698;2
13133;XY.115327;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;70,96;27,3;-2,1;29,4;7,1;3,4;20,4;2,1;1123;123;71;18;351;221;276;256;338;176;0
13134;XY.115367;Quercus petraea (Mattuschka) Liebl.;11,3;9,4;31;71,47;27,3;-2,3;29,6;7;3,2;20,4;2;1107;120;69;18;342;215;277;248;101;204;1
13135;XY.115376;Quercus petraea (Mattuschka) Liebl.;11,4;9,4;31;71,21;27,4;-2,2;29,6;7,2;3,3;20,4;2,1;1106;121;69;18;343;216;275;249;102;181;0
