Id;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
10310;XY.109994;Carpinus betulus L.;10,8;9,8;32;73,38;27;-3,4;30,4;18,4;2,7;19,9;1;775;99;43;24;251;135;248;155;90;130;1
10311;XY.109995;Carpinus betulus L.;10,8;9,8;32;73,38;27;-3,4;30,4;18,4;2,7;19,9;1;775;99;43;24;251;135;248;155;3;136;1
10312;XY.109999;Carpinus betulus L.;11,1;9,8;32;74,16;27,3;-3,3;30,6;18,8;2,9;20,2;1,1;746;96;42;24;242;131;238;149;116;113;0
10313;XY.110002;Carpinus betulus L.;11,1;9,9;32;74,03;27,3;-3,3;30,6;18,6;2,9;20,2;1,1;750;96;42;23;243;132;238;150;30;114;0
10314;XY.110088;Carpinus betulus L.;8,9;9,7;32;71,05;24,8;-4,8;29,6;16,3;1;17,8;-0,5;932;116;54;22;299;167;293;191;95;358;3
10315;XY.110089;Carpinus betulus L.;7,5;9,2;31;70,79;23,2;-5,9;29,1;14,8;-0,4;16,4;-1,8;974;121;57;22;315;175;308;199;134;500;4
10316;XY.110097;Carpinus betulus L.;8,8;9,6;32;70,99;24,7;-4,9;29,6;16,2;0,9;17,7;-0,6;934;116;54;22;300;167;295;191;163;430;3
10317;XY.110105;Carpinus betulus L.;8,8;9,6;32;70,95;24,8;-4,7;29,5;16,1;1;17,7;-0,6;931;116;54;22;299;167;293;191;95;358;3
10318;XY.123230;Quercus petraea (Mattuschka) Liebl.;11;9,4;31;71,06;26,9;-2,6;29,5;6,6;2,9;19,9;1,6;1083;119;69;17;334;214;269;246;176;196;0
10319;XY.123231;Quercus petraea (Mattuschka) Liebl.;11;9,4;31;71,06;26,9;-2,6;29,5;6,6;2,9;19,9;1,6;1083;119;69;17;334;214;269;246;176;196;0
10320;XY.123315;Quercus petraea (Mattuschka) Liebl.;11;9,5;32;71,33;26,9;-2,7;29,6;6,7;2,9;19,9;1,6;1070;118;68;17;329;211;266;243;219;191;1
10321;XY.109995;Quercus petraea (Mattuschka) Liebl.;10,8;9,8;32;73,38;27;-3,4;30,4;18,4;2,7;19,9;1;775;99;43;24;251;135;248;155;3;136;1
10322;XY.110048;Fraxinus ornus L.;15,1;8,2;32;61,79;29,4;3,8;25,6;8,8;23,2;23,2;7,5;1159;160;37;40;445;143;143;398;145;221;4
10323;XY.110064;Quercus petraea (Mattuschka) Liebl.;9;9,3;30;73,38;24,9;-5,2;30,1;18,2;0,7;18,2;-0,7;974;111;48;25;320;156;320;171;184;345;4
10324;XY.110064;Fraxinus ornus L.;9;9,3;30;73,38;24,9;-5,2;30,1;18,2;0,7;18,2;-0,7;974;111;48;25;320;156;320;171;184;345;4
