;OpisNalazista;OznKoord;NazKlase;Nesigurnost;CELLCODE;EOFORIGIN;NOFORIGIN;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;ID;GRIDCODE;COUNT;HLSHD2;EKSPOZICIJ;NDM__M_;NAGIB_TERE;tip_opazanja
1;Istra, Rovinj. Obalno područjje na potezu u. Pulari (turističko naselje Villas Rubin) do l. Veštar (auto kamp Veštar), 4 km jugoistočno od Rovinja.;0948.1;Fraxinus ornus L.;NULL;1kmE4613N2447;4.61300000000e+006;2.44700000000e+006;14,1;6,5;27;62,55;27,1;3,1;24;15,1;20,1;22,1;6,2;972;116;60;19;310;202;211;231;35488;31187;1;182;241;60;1;1
2;usko obalno područje na potezu turističko naselje Villas Rubin (uvala Pulari, cca 4 km jugoistočno od Rovinja) do auto kampa Veštar (L. Veštar) (Istra);0948.1;Fraxinus ornus L.;NULL;1kmE4613N2447;4.61300000000e+006;2.44700000000e+006;14,1;6,5;27;62,55;27,1;3,1;24;15,1;20,1;22,1;6,2;972;116;60;19;310;202;211;231;35488;31187;1;182;241;60;1;1
3;Istra, Rabac, južno od autokampa makadamom uz obalu i po obronku Viškoljak;0950.2;Fraxinus ornus L.;NULL;1kmE4645N2449;4.64500000000e+006;2.44900000000e+006;13,1;6,8;28;62,03;26,5;2,3;24,2;10;19,2;21,2;5,5;1156;139;68;22;380;232;232;293;35712;31392;1;181;109;263;1;1
4;Istra, Rabac, južno od autokampa makadamom uz obalu i po obronku Viškoljak;0950.2;Fraxinus ornus L.;NULL;1kmE4645N2449;4.64500000000e+006;2.44900000000e+006;13,1;6,8;28;62,03;26,5;2,3;24,2;10;19,2;21,2;5,5;1156;139;68;22;380;232;232;293;35712;31392;1;181;109;263;1;1
5;Otok Cres. Selo Lubenice, oko prilazne ceste s obje strane i u samom mjestu.;1152.1;Fraxinus ornus L.;NULL;1kmE4666N2428;4.66600000000e+006;2.42800000000e+006;14,2;7,6;30;61,52;28;2,9;25,1;11,1;22,2;22,2;6,6;1132;142;61;26;394;208;208;303;38690;34138;1;182;101;86;4;1
6;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Nacionalni park Plitvička jezera (Plitvice);1159.214;Fraxinus ornus L.;NULL;1kmE4764N2435;4.76400000000e+006;2.43500000000e+006;8,9;8,8;31;68,4;24,4;-3,7;28,1;5;17;17,5;-0,1;1265;150;79;22;429;258;260;330;38754;34202;1;175;53;566;2;1
7;Poluotok Premantura, istočna obala prema Medulinu, obala uz Uvalu Lokve (južna Istra, Hrvatska);1249.2;Fraxinus ornus L.;NULL;1kmE4634N2415;4.63400000000e+006;2.41500000000e+006;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;NA;NA;NA;NA;NA;NA;NA;1
8;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Drakulić Rijeka, neposredna blizina, Lika;1259.222;Fraxinus ornus L.;NULL;1kmE4768N2426;4.76800000000e+006;2.42600000000e+006;7,6;8,3;30;68,19;22,8;-4,7;27,5;3,8;15,7;16,2;-1,4;1293;151;82;21;433;265;271;337;39581;35027;1;183;119;819;2;1
9;Naselje Ist, otok Ist, zadarski arhipelag (Zadar), sjeverna Dalmacija. Terenska istraživanja: Milenko Milović i Marija Pandža.;IST;Fraxinus ornus L.;NULL;1kmE4702N2363;4.70200000000e+006;2.36300000000e+006;14,1;8,9;33;61,55;28,6;2,1;26,5;11;22,1;22,1;6,4;1003;130;50;29;363;171;171;276;44682;40105;1;183;138;12;1;1
10;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116728;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
11;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116736;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
12;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116738;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2415;2326;1;200;158;511;7;1
13;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116749;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
14;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116760;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2535;2444;1;192;142;498;5;1
15;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116779;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
16;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116786;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
17;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116787;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
18;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116823;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2582;4.79400000000e+006;2.58200000000e+006;5,7;8,5;29;70,32;20,9;-7,5;28,4;14,5;-2,3;14,5;-3,6;1106;129;59;24;363;186;363;203;2296;2212;1;192;151;1008;4;1
19;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116837;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
20;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116837;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
21;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116841;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
22;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116877;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2579;4.79500000000e+006;2.57900000000e+006;8,9;9,2;30;73,76;24,7;-5,4;30,1;18,1;0,5;18,1;-0,9;975;111;49;25;320;157;320;173;2534;2443;1;195;170;501;5;1
23;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116884;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2534;2443;1;195;170;501;5;1
24;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116890;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
25;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116898;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
26;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116899;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2581;4.79400000000e+006;2.58100000000e+006;7;8,8;30;72,19;22,6;-6,7;29,3;16,1;-1,2;16,1;-2,5;1054;122;55;25;347;174;347;190;2413;2324;1;214;169;627;12;1
27;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116902;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2414;2325;1;205;155;552;9;1
28;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116903;Fraxinus ornus L.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
29;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116903;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
