IdNalazistaOp;OpisNalazista;OznKoord;IdOpazanja;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
299037;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116978;15898;Fraxinus ornus L.;XY.116978;472064.1623;5115272.6729;25.0000
299093;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116999;15919;Quercus petraea (Mattuschka) Liebl.;XY.116999;474664.5001;5110471.7121;25.0000
299096;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117000;15920;Quercus petraea (Mattuschka) Liebl.;XY.117000;474265.1663;5110473.3954;25.0000
299101;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117003;15923;Quercus petraea (Mattuschka) Liebl.;XY.117003;474363.1303;5110675.4107;25.0000
299112;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117006;15926;Quercus petraea (Mattuschka) Liebl.;XY.117006;474671.1536;5110670.5107;25.0000
299116;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117008;15928;Quercus petraea (Mattuschka) Liebl.;XY.117008;474471.7674;5110773.3181;25.0000
299134;Velika risa, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117015;15935;Quercus petraea (Mattuschka) Liebl.;XY.117015;472369.2523;5113072.6242;25.0000
299171;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117029;15949;Quercus petraea (Mattuschka) Liebl.;XY.117029;472763.9725;5113271.0952;25.0000
299241;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117051;15971;Fraxinus ornus L.;XY.117051;472069.5654;5114174.7263;25.0000
299242;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117051;15971;Quercus petraea (Mattuschka) Liebl.;XY.117051;472069.5654;5114174.7263;25.0000
299337;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117082;16000;Quercus petraea (Mattuschka) Liebl.;XY.117082;472064.2702;5114470.7787;25.0000
299338;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117083;16001;Quercus petraea (Mattuschka) Liebl.;XY.117083;472260.5458;5114474.2552;25.0000
194996;Otok Cres, sjeveroistočni dio, biljke su sabiranu na raznim mjestima unutar polja MTB 0952/132, uz cestu Križić - Beli, uz cestu Križić - Porozina, na putu prema Sisu (Sis).;0952.132;5183;Fraxinus ornus L.;0952.132;331463.4545;4994289.6638;NULL
62561;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvice, Nalazište: Rastovača, zapadne padine, uz rijeku Koranu (rijeka Korana), Nmv.: 580m, Terenska opažanja: Z. Stančić, Dta.:22.04.2005.;1059.432;1104;Fraxinus ornus L.;1059.432;429683.8519;4975786.0147;NULL
63649;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvice, Nalazište: Sastavci, južno od slapa Plitvice u Koranu (potok Plitvica, rijeka Korana), Nmv.: 570m, Terenska opažanja: Z. Stančić, Dta.:13.05.2005.;1059.434;1132;Fraxinus ornus L.;1059.434;429668.6922;4974397.3181;NULL
78231;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera;1059.441;1472;Quercus petraea (Mattuschka) Liebl.;1059.441;431328.1512;4975768.2738;NULL
76598;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Sjeverni Velebit, Terenska opažanja: J. Topić & Lj. Ilijanić, Datum: 29.07.2005.;1255.441;1442;Fraxinus ornus L.;1255.441;378290.8064;4954324.7010;NULL
77753;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Sjeverni Velebit, Terenska opažanja: J. Topić & Lj. Ilijanić, Datum: 21.06.2005.;1255.443;1462;Fraxinus ornus L.;1255.443;378264.6845;4952936.0481;NULL
200201;Istra. Kotli. Glinovit teren;KOTLI;5849;Quercus petraea (Mattuschka) Liebl.;KOTLI;305502.5793;5028285.5330;NULL
298324;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116706;15626;Quercus petraea (Mattuschka) Liebl.;XY.116706;471367.1183;5113671.0510;25.0000
298328;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116707;15627;Quercus petraea (Mattuschka) Liebl.;XY.116707;471362.3179;5113771.5202;25.0000
298338;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116712;15632;Quercus petraea (Mattuschka) Liebl.;XY.116712;471061.1346;5113471.5798;25.0000
298341;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116713;15633;Fraxinus ornus L.;XY.116713;471260.6716;5113778.0375;25.0000
298408;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116740;15660;Quercus petraea (Mattuschka) Liebl.;XY.116740;471465.9625;5112869.4371;25.0000
298421;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116746;15666;Quercus petraea (Mattuschka) Liebl.;XY.116746;471060.1149;5113172.4894;25.0000
298422;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116747;15667;Quercus petraea (Mattuschka) Liebl.;XY.116747;471367.7330;5113368.7338;25.0000
298431;Velika risa, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116751;15671;Quercus petraea (Mattuschka) Liebl.;XY.116751;472269.5276;5112966.7163;25.0000
298487;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116770;15690;Quercus petraea (Mattuschka) Liebl.;XY.116770;474461.6779;5109377.0703;25.0000
298501;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116776;15696;Quercus petraea (Mattuschka) Liebl.;XY.116776;473362.9135;5109372.3005;25.0000
298504;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116778;15698;Quercus petraea (Mattuschka) Liebl.;XY.116778;473360.0091;5109269.3178;25.0000
298521;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116785;15705;Quercus petraea (Mattuschka) Liebl.;XY.116785;473469.1692;5109466.3201;25.0000
298530;Dupljaka, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116789;15709;Quercus petraea (Mattuschka) Liebl.;XY.116789;471979.8675;5111301.1325;25.0000
298554;Dupljaka, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116802;15722;Quercus petraea (Mattuschka) Liebl.;XY.116802;473267.5828;5113471.0931;25.0000
298558;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116803;15723;Quercus petraea (Mattuschka) Liebl.;XY.116803;470961.3495;5114267.1959;25.0000
298632;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116829;15749;Quercus petraea (Mattuschka) Liebl.;XY.116829;471261.1438;5114072.2617;25.0000
298635;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116830;15750;Quercus petraea (Mattuschka) Liebl.;XY.116830;471066.7636;5114067.5733;25.0000
298648;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116835;15755;Quercus petraea (Mattuschka) Liebl.;XY.116835;472462.4795;5114379.7125;25.0000
298698;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116854;15774;Quercus petraea (Mattuschka) Liebl.;XY.116854;473565.1354;5110969.7954;25.0000
