;OznKoord;NazKlase;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;EKSPOZICIJ;NDM__M_;NAGIB_TERE
14345;XY.114988;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
14346;XY.125396;Fagus sylvatica L.;9,7;9;31;68,62;25,2;-3,2;28,4;5,7;17,8;18,3;0,6;1230;143;81;20;408;264;266;310;325;443;1
14347;XY.125398;Fagus sylvatica L.;10,6;9,3;32;68,86;26,3;-2,4;28,7;6,6;5,9;19,3;1,5;1181;137;79;20;389;248;260;293;253;299;2
14348;XY.125412;Fagus sylvatica L.;10,5;9,3;32;68,79;26,2;-2,5;28,7;6,5;5,9;19,2;1,5;1191;139;78;20;396;253;257;300;27;336;4
14349;XY.125413;Fagus sylvatica L.;10,5;9,3;32;68,79;26,2;-2,5;28,7;6,5;5,9;19,2;1,5;1191;139;78;20;396;253;257;300;19;305;4
14350;XY.125427;Fagus sylvatica L.;10,5;9,3;32;68,82;26,1;-2,6;28,7;6,4;5,8;19,1;1,4;1188;139;78;20;395;253;257;299;29;436;4
14351;XY.127129;Fagus sylvatica L.;9,2;7,2;28;63,88;23,1;-2,1;25,2;10;1,8;17,5;1,2;1319;145;87;17;410;268;315;297;254;729;3
14352;XY.127147;Fagus sylvatica L.;9,7;7,1;28;63,71;23,4;-1,6;25;10,6;2,2;17,9;1,7;1302;144;86;17;407;265;308;293;52;581;1
14353;XY.127159;Fagus sylvatica L.;9,8;7,1;28;63,91;23,7;-1,4;25,1;10,6;2,4;18,1;1,9;1312;146;88;17;411;271;306;301;16;912;11
14354;XY.127164;Fagus sylvatica L.;9,5;7,2;28;64,04;23,5;-1,8;25,3;10,3;2,1;17,8;1,5;1323;146;88;17;414;270;311;301;120;728;1
14355;XY.127168;Fagus sylvatica L.;9,5;7,1;28;63,75;23,3;-1,8;25,1;10,4;2,1;17,8;1,5;1308;145;87;17;409;267;308;296;46;690;7
14356;XY.127171;Fagus sylvatica L.;8;7;28;63,41;21,7;-3,2;24,9;8,8;0,6;16,2;-9999;1308;143;85;16;403;262;320;286;11;967;7
14357;XY.127172;Fagus sylvatica L.;9,8;7,1;28;63,91;23,7;-1,4;25,1;10,6;2,4;18,1;1,9;1312;146;88;17;411;271;306;301;16;912;11
14358;XY.127175;Fagus sylvatica L.;10;7,2;28;63,96;23,9;-1,3;25,2;10,8;2,5;18,2;2;1314;145;87;17;411;268;309;299;318;682;0
14359;XY.127176;Fagus sylvatica L.;10,1;7,1;28;63,75;24;-1,1;25,1;11;2,7;18,4;2,2;1305;145;87;17;409;269;303;300;9;663;6
14360;XY.127190;Fagus sylvatica L.;10,6;7,1;28;63,78;24,5;-0,6;25,1;11,5;3,2;18,9;2,7;1301;145;87;17;409;269;300;300;52;581;1
14361;XY.127191;Fagus sylvatica L.;9,7;7,1;28;63,82;23,6;-1,6;25,2;10,6;2,3;18;1,7;1309;145;87;17;409;268;307;298;25;679;4
14362;XY.127192;Fagus sylvatica L.;10,1;7,1;28;63,75;24;-1,1;25,1;11;2,7;18,4;2,2;1305;145;87;17;409;269;303;300;357;630;1
14363;XY.127196;Fagus sylvatica L.;10;7,2;28;63,96;23,9;-1,3;25,2;10,8;2,5;18,2;2;1314;145;87;17;411;268;309;299;318;682;0
14364;XY.127207;Fagus sylvatica L.;8,9;7,2;28;63,98;22,9;-2,4;25,3;9,8;1,5;17,2;0,9;1322;145;87;16;410;267;318;295;190;845;2
14365;XY.127210;Fagus sylvatica L.;10;7,2;28;63,96;23,9;-1,3;25,2;10,8;2,5;18,2;2;1314;145;87;17;411;268;309;299;318;682;0
14366;XY.127213;Fagus sylvatica L.;10,3;7,2;28;63,91;24,2;-1;25,2;11,1;2,9;18,6;2,3;1310;145;87;17;411;269;305;301;348;653;1
14367;XY.127229;Fagus sylvatica L.;10,1;7,1;28;63,9;24;-1,2;25,2;10,9;2,7;18,4;2,1;1306;144;87;17;408;268;307;298;218;696;2
14368;XY.127240;Fagus sylvatica L.;9,9;7,2;28;63,91;23,8;-1,3;25,1;10,8;2,5;18,2;2;1316;146;88;17;412;270;308;301;238;680;0
14369;XY.127243;Fagus sylvatica L.;9,3;7,1;28;63,5;23;-2;25;10,2;1,9;17,5;1,3;1303;144;86;17;406;264;311;291;81;921;5
14370;xy.93907;Fagus sylvatica L.;7,6;8,3;30;68,2;22,7;-4,8;27,5;3,8;15,6;16,1;-1,5;1287;150;82;20;429;265;273;334;256;764;1
14371;xy.93940;Fagus sylvatica L.;8,3;8,6;31;68,01;23,6;-4,1;27,7;4,5;16,4;16,9;-0,6;1270;151;79;22;431;256;260;335;40;682;4
14372;xy.93946;Ambrosia artemisiifolia L.;8,3;8,6;31;68,01;23,6;-4,1;27,7;4,5;16,4;16,9;-0,6;1270;151;79;22;431;256;260;335;227;666;2
14373;xy.93954;Ambrosia artemisiifolia L.;7,8;8,3;30;68,38;23;-4,6;27,6;4;15,9;16,4;-1,2;1310;154;81;21;443;264;268;345;71;773;3
14374;xy.93964;Fagus sylvatica L.;7,3;8,2;30;67,9;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1321;154;83;21;443;270;276;343;33;796;3
14375;xy.93983;Fagus sylvatica L.;8,4;8,7;31;68,24;23,7;-4,1;27,8;4,5;16,5;17;-0,6;1266;149;80;21;425;260;265;329;28;661;1
14376;xy.93985;Fagus sylvatica L.;7,9;8,4;30;68,38;23,1;-4,5;27,6;4;16;16,5;-1,1;1309;154;82;21;442;266;271;342;55;793;0
14377;xy.93988;Fagus sylvatica L.;6,9;8;29;67,86;21,9;-5,2;27,1;3,2;15;15,5;-2;1323;153;85;20;439;275;281;341;77;789;3
14378;xy.94017;Ambrosia artemisiifolia L.;7,7;8,3;30;68,21;22,9;-4,6;27,5;4;15,8;16,3;-1,3;1313;154;82;21;443;266;271;345;292;789;0
14379;xy.94093;Fagus sylvatica L.;5,7;6,9;27;64,33;19,6;-5,6;25,2;2,4;-2;13,9;-2,5;1335;151;92;18;430;290;297;326;164;1304;5
14380;xy.94196;Fagus sylvatica L.;4,8;6,6;26;63,73;18,5;-6,3;24,8;1,6;-2,8;13;-3,3;1331;149;92;17;421;286;305;319;51;1461;5
14381;XY.114990;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
14382;XY.114991;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
14383;XY.114999;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;56;400;0
14384;XY.115007;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;56;400;0
14385;XY.115017;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1225;134;79;18;383;243;300;280;263;403;5
14386;XY.115074;Fraxinus ornus L.;9,9;7;28;63,84;23,7;-1,3;25;10,8;2,6;18,2;2;1271;140;83;16;394;255;308;279;NA;NA;NA
14387;XY.115085;Fraxinus ornus L.;9,9;7,1;28;63,71;23,6;-1,4;25;10,8;2,5;18,1;1,9;1274;140;83;16;395;255;310;279;132;674;1
14388;XY.115086;Fraxinus ornus L.;9,9;7,1;28;63,71;23,6;-1,4;25;10,8;2,5;18,1;1,9;1274;140;83;16;395;255;310;279;132;674;1
14389;XY.115090;Fraxinus ornus L.;9,9;7;28;63,84;23,7;-1,3;25;10,8;2,6;18,2;2;1271;140;83;16;394;255;308;279;132;674;1
14390;XY.115124;Quercus petraea (Mattuschka) Liebl.;10,6;9,1;31;70,18;26,4;-2,6;29;6,5;2,5;19,5;1,5;1203;133;78;18;380;241;290;278;214;215;4
14391;XY.115125;Quercus petraea (Mattuschka) Liebl.;10;8,9;30;70,18;25,7;-3,1;28,8;5,9;1,9;18,9;0,9;1226;134;80;18;384;245;298;282;215;322;5
14392;XY.115131;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
14393;XY.115132;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
14394;XY.115137;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;215;322;5
14395;XY.115138;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;215;322;5
14396;XY.115138;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;215;322;5
14397;XY.115139;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
14398;XY.115141;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;216;223;4
14399;XY.115142;Quercus petraea (Mattuschka) Liebl.;10,2;9;31;70,05;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1222;134;79;18;384;245;295;283;215;322;5
14400;XY.115147;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;263;403;5
14401;XY.115149;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;266;225;5
14402;XY.115160;Quercus petraea (Mattuschka) Liebl.;10,6;9;31;70,21;26,3;-2,6;28,9;6,4;2,6;19,5;1,4;1207;133;78;18;380;241;292;278;266;225;5
14403;XY.115181;Quercus petraea (Mattuschka) Liebl.;11,2;9,1;32;68,17;26,7;-1,7;28,4;7,3;6,5;19,9;2,4;1231;142;82;21;409;253;270;303;249;248;1
14404;XY.115188;Quercus petraea (Mattuschka) Liebl.;11,4;9,1;32;68,54;26,8;-1,6;28,4;7,4;6,6;20,1;2,4;1218;140;81;21;403;249;269;298;35;227;0
14405;XY.115190;Quercus petraea (Mattuschka) Liebl.;11,3;9,1;31;68,83;26,9;-1,7;28,6;7,3;6,6;20,1;2,4;1217;140;81;20;401;249;271;296;107;224;0
14406;XY.126435;Fraxinus ornus L.;13,3;6,8;28;62,61;26,6;2,4;24,2;14,1;6;21,4;5,5;1191;137;75;19;381;254;260;285;309;227;0
14407;XY.126442;Fraxinus ornus L.;9,1;7,1;28;64,02;23;-2,2;25,2;10;1,7;17,4;1,2;1304;143;86;16;404;263;315;289;137;801;4
14408;XY.126445;Fraxinus ornus L.;13;6,8;27;62,73;26,5;2,1;24,4;13,9;5,7;21,2;5,3;1210;139;77;19;387;259;263;291;313;280;2
14409;XY.126462;Fraxinus ornus L.;10,4;6,9;27;63,37;24;-0,7;24,7;11,3;3;18,6;2,5;1281;144;86;17;403;266;294;296;219;568;5
14410;XY.126477;Fraxinus ornus L.;13,4;6,8;27;62,92;26,9;2,5;24,4;14,3;6,1;21,6;5,7;1189;137;75;19;381;254;258;286;331;222;1
14411;XY.126539;Fraxinus ornus L.;10,1;7,1;28;63,9;24;-1,2;25,2;10,9;2,7;18,4;2,1;1306;144;87;17;408;268;307;298;NA;NA;NA
14412;XY.126552;Fraxinus ornus L.;12,2;6,8;27;63,4;25,7;1,1;24,6;13,1;4,8;20,4;4,3;1233;140;81;18;391;260;276;290;204;226;6
14413;XY.126567;Fraxinus ornus L.;12,4;6,8;27;62,89;25,8;1,4;24,4;13,3;5;20,5;4,6;1232;140;80;18;392;261;273;292;203;337;8
14414;XY.126582;Fraxinus ornus L.;9,5;7,1;28;64,07;23,4;-1,8;25,2;10,4;2,1;17,8;1,5;1307;144;86;17;407;265;312;293;122;646;3
14415;XY.126591;Fraxinus ornus L.;13,4;6,8;27;62,75;26,8;2,5;24,3;14,3;6,1;21,6;5,7;1183;136;75;19;379;252;259;283;201;281;2
14416;XY.116302;Quercus petraea (Mattuschka) Liebl.;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;170;501;5
14417;XY.116303;Quercus petraea (Mattuschka) Liebl.;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;182;529;7
14418;XY.116307;Quercus petraea (Mattuschka) Liebl.;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;170;501;5
14419;XY.116320;Quercus petraea (Mattuschka) Liebl.;9;9,3;30;73,38;24,9;-5,2;30,1;18,2;0,7;18,2;-0,7;974;111;48;25;320;156;320;171;184;345;4
14420;XY.116322;Quercus petraea (Mattuschka) Liebl.;9;9,3;30;73,38;24,9;-5,2;30,1;18,2;0,7;18,2;-0,7;974;111;48;25;320;156;320;171;184;345;4
14421;XY.115719;Carpinus betulus L.;11,6;9,4;31;71,29;27,6;-2;29,6;7,3;3,5;20,6;2,2;1101;120;69;18;341;214;274;247;357;194;2
14422;XY.115729;Carpinus betulus L.;11,6;9,4;31;71,29;27,6;-2;29,6;7,3;3,5;20,6;2,2;1101;120;69;18;341;214;274;247;357;194;2
14423;XY.115730;Carpinus betulus L.;11,6;9,4;31;71,29;27,6;-2;29,6;7,3;3,5;20,6;2,2;1101;120;69;18;341;214;274;247;357;194;2
14424;XY.115736;Carpinus betulus L.;11,6;9,4;31;71,29;27,6;-2;29,6;7,3;3,5;20,6;2,2;1101;120;69;18;341;214;274;247;357;194;2
14425;XY.115738;Carpinus betulus L.;11,3;9,4;31;71,29;27,3;-2,3;29,6;7;3,2;20,3;2;1109;120;69;18;342;215;278;248;38;168;2
14426;XY.115742;Carpinus betulus L.;11,1;9,3;31;71,07;27;-2,4;29,4;6,8;3;20,1;1,8;1121;121;70;18;345;218;281;251;209;198;0
14427;XY.115743;Carpinus betulus L.;11,2;9,3;31;70,98;27;-2,3;29,3;6,9;3,1;20,1;1,9;1123;122;70;18;348;219;279;253;209;198;0
14428;XY.115744;Carpinus betulus L.;11,6;9,4;31;71,5;27,6;-2;29,6;7,3;3,5;20,6;2,2;1095;119;68;18;338;213;274;245;38;168;2
14429;XY.115836;Carpinus betulus L.;11,3;9,4;31;71,42;27,2;-2,4;29,6;11,8;3,1;20,3;1,9;1110;119;68;18;340;212;284;244;140;127;1
14430;XY.115837;Carpinus betulus L.;11,3;9,4;31;71,42;27,2;-2,4;29,6;11,8;3,1;20,3;1,9;1110;119;68;18;340;212;284;244;159;140;1
14431;XY.115846;Carpinus betulus L.;11,5;9,4;31;71,79;27,5;-2,2;29,7;12;3,3;20,6;2,1;1101;118;67;18;337;211;280;243;46;133;1
14432;XY.115878;Carpinus betulus L.;11,3;9,4;31;71,42;27,2;-2,4;29,6;11,8;3,1;20,3;1,9;1110;119;68;18;340;212;284;244;154;171;2
14433;XY.115885;Carpinus betulus L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1091;118;67;18;335;209;277;241;296;115;0
14434;XY.115901;Carpinus betulus L.;11,2;9,3;31;71,03;27;-2,3;29,3;6,9;3,1;20,1;1,9;1124;122;71;18;348;220;279;254;227;159;1
14435;XY.115943;Carpinus betulus L.;11,1;9,3;31;71,26;27,1;-2,4;29,5;6,8;3;20,1;1,8;1119;121;70;18;345;218;279;251;132;156;1
14436;XY.115944;Carpinus betulus L.;11,1;9,3;31;71,26;27,1;-2,4;29,5;6,8;3;20,1;1,8;1119;121;70;18;345;218;279;251;132;156;1
14437;XY.115945;Carpinus betulus L.;11,1;9,3;31;71,26;27,1;-2,4;29,5;6,8;3;20,1;1,8;1119;121;70;18;345;218;279;251;132;156;1
14438;XY.115953;Carpinus betulus L.;11,1;9,3;31;71,26;27,1;-2,4;29,5;6,8;3;20,1;1,8;1119;121;70;18;345;218;279;251;132;156;1
14439;XY.115965;Carpinus betulus L.;11,2;9,3;31;71,03;27;-2,3;29,3;6,9;3,1;20,1;1,9;1124;122;71;18;348;220;279;254;202;154;1
14440;XY.115985;Carpinus betulus L.;11,3;9,4;31;71,29;27,3;-2,3;29,6;7;3,2;20,3;2;1109;120;69;18;342;215;278;248;23;112;1
14441;XY.115989;Carpinus betulus L.;11,3;9,4;31;71,01;27,1;-2,3;29,4;7;3,2;20,3;2;1121;123;71;18;349;220;276;254;271;142;0
14442;XY.115861;Carpinus betulus L.;11,2;9,3;31;71,17;27,2;-2,3;29,5;6,9;3,1;20,2;1,9;1123;122;70;18;348;219;279;253;258;165;1
14443;XY.115862;Carpinus betulus L.;11,2;9,3;31;71,17;27,2;-2,3;29,5;6,9;3,1;20,2;1,9;1123;122;70;18;348;219;279;253;258;165;1
14444;XY.115866;Carpinus betulus L.;11,2;9,3;31;70,98;27;-2,3;29,3;6,9;3,1;20,1;1,9;1123;122;70;18;348;219;279;253;258;165;1
14445;XY.115868;Carpinus betulus L.;11,2;9,3;31;70,91;27;-2,3;29,3;6,9;3,1;20,1;1,9;1126;123;71;18;350;220;279;254;258;165;1
14446;XY.115869;Carpinus betulus L.;11,6;9,4;31;71,01;27,5;-1,9;29,4;7,3;3,5;20,6;2,3;1111;122;70;18;347;218;273;252;227;159;1
14447;XY.115912;Carpinus betulus L.;11;9,3;31;70,96;26,8;-2,5;29,3;6,7;2,8;19,9;1,7;1137;122;71;18;349;221;286;254;115;235;2
14448;XY.115942;Carpinus betulus L.;11,2;9,3;31;71,12;27,1;-2,3;29,4;6,9;3,1;20,2;1,9;1117;121;70;18;345;218;279;251;132;156;1
14449;XY.115946;Carpinus betulus L.;11,2;9,3;31;71,12;27,1;-2,3;29,4;6,9;3,1;20,2;1,9;1117;121;70;18;345;218;279;251;132;156;1
14450;XY.115955;Carpinus betulus L.;11,1;9,3;31;71,26;27,1;-2,4;29,5;6,8;3;20,1;1,8;1119;121;70;18;345;218;279;251;132;156;1
14451;XY.115956;Carpinus betulus L.;11,2;9,3;31;71,03;27;-2,3;29,3;6,9;3,1;20,1;1,9;1124;122;71;18;348;220;279;254;202;154;1
14452;XY.115959;Carpinus betulus L.;11,2;9,3;31;71,03;27;-2,3;29,3;6,9;3,1;20,1;1,9;1124;122;71;18;348;220;279;254;202;154;1
14453;XY.115975;Carpinus betulus L.;11,3;9,4;31;71,47;27,3;-2,3;29,6;7;3,2;20,4;2;1107;120;69;18;342;215;277;248;90;133;1
14454;XY.115982;Carpinus betulus L.;11,6;9,4;31;71,29;27,6;-2;29,6;7,3;3,5;20,6;2,2;1101;120;69;18;341;214;274;247;357;194;2
14455;XY.116002;Carpinus betulus L.;11,3;9,4;31;71,14;27,2;-2,3;29,5;7;3,2;20,3;2;1115;120;69;18;343;215;281;248;113;164;1
14456;XY.116013;Carpinus betulus L.;11,2;9,3;31;71,27;27,2;-2,4;29,6;6,9;3,1;20,2;1,9;1116;120;69;18;343;215;282;248;87;206;2
14457;XY.116023;Carpinus betulus L.;11,5;9,4;31;71,42;27,5;-2,1;29,6;7,2;3,4;20,6;2,2;1096;119;68;18;338;212;275;244;240;120;0
14458;XY.116025;Carpinus betulus L.;11,5;9,4;31;71,47;27,5;-2,1;29,6;12,1;3,4;20,6;2,2;1092;118;67;18;335;210;277;242;111;113;0
14459;XY.116039;Carpinus betulus L.;11,3;9,4;31;71,14;27,2;-2,3;29,5;7;3,2;20,3;2;1115;120;69;18;343;215;281;248;113;164;1
14460;XY.116043;Carpinus betulus L.;11,3;9,4;31;71,14;27,2;-2,3;29,5;7;3,2;20,3;2;1115;120;69;18;343;215;281;248;113;164;1
14461;XY.116065;Carpinus betulus L.;10,8;9,1;31;69,87;26,4;-2,5;28,9;6,7;6;19,6;1,6;1196;132;77;18;378;239;287;278;206;173;3
14462;XY.116078;Carpinus betulus L.;10,3;9;31;70,1;25,9;-2,9;28,8;6,1;2,2;19,1;1,1;1214;133;79;18;381;243;294;280;202;298;5
14463;xy.94206;Fagus sylvatica L.;6,1;7;27;65,02;20,2;-5,3;25,5;2,8;14;14,4;-2,3;1336;153;89;19;436;288;289;333;102;1184;6
14464;xy.94229;Fagus sylvatica L.;5,2;6,7;27;63,71;19;-5,8;24,8;2;-2,3;13,4;-2,8;1325;149;92;17;424;288;297;322;187;1339;3
14465;xy.94233;Fagus sylvatica L.;4,4;6,5;26;63,09;18;-6,5;24,5;1,3;-3;12,6;-3,5;1326;147;90;16;416;282;308;314;136;1587;1
14466;xy.94240;Fagus sylvatica L.;4,6;6,6;26;63,39;18,2;-6,4;24,6;1,4;-2,9;12,8;-3,4;1334;148;91;16;419;284;309;316;117;1546;3
14467;xy.94243;Fagus sylvatica L.;6,6;7;27;64,78;20,7;-4,7;25,4;3,4;14,9;14,9;-1,6;1324;153;87;19;437;280;280;333;250;1107;16
14468;xy.94247;Fagus sylvatica L.;5,6;6,8;27;64,29;19,4;-5,7;25,1;2,3;13,5;13,8;-2,6;1326;151;90;18;429;289;292;326;109;1310;7
14469;xy.94446;Fagus sylvatica L.;8,7;8,7;31;68,57;24,1;-3,8;27,9;4,8;16,8;17,3;-0,4;1274;150;81;21;429;263;266;330;82;591;3
14470;xy.94473;Fagus sylvatica L.;9,7;8,7;31;66,41;25;-2,5;27,5;6,2;18,2;18,2;1,1;1200;153;63;28;435;211;211;337;201;328;11
14471;xy.94525;Fagus sylvatica L.;10,5;8,7;31;67,42;25,8;-1,9;27,7;6,7;5,8;19,1;1,8;1303;151;86;21;435;273;280;325;55;420;10
14472;xy.94622;Ambrosia artemisiifolia L.;10,8;9,5;31;74,41;26,8;-3,5;30,3;20,1;2,4;20,1;0,9;924;100;48;21;279;158;279;176;6;111;0
14473;xy.94640;Ambrosia artemisiifolia L.;10,7;9,6;31;74,28;26,7;-3,6;30,3;20;2,3;20;0,8;922;100;48;21;278;158;278;176;6;111;0
14474;xy.94641;Ambrosia artemisiifolia L.;10,8;9,5;31;74,31;26,8;-3,5;30,3;20,1;2,4;20,1;0,9;923;100;48;21;277;158;277;177;6;111;0
14475;xy.94643;Ambrosia artemisiifolia L.;10,8;9,5;31;74,31;26,8;-3,5;30,3;20,1;2,4;20,1;0,9;923;100;48;21;277;158;277;177;6;111;0
14476;xy.94690;Ambrosia artemisiifolia L.;10,7;9,6;31;74,19;26,7;-3,6;30,3;19,9;2,3;19,9;0,8;921;100;48;21;277;158;277;176;6;111;0
14477;xy.94724;Fagus sylvatica L.;4,5;6,7;26;63,99;18,3;-6,6;24,9;1,3;12,4;12,7;-3,6;1271;145;85;18;410;271;282;320;217;1248;19
14478;xy.94725;Ambrosia artemisiifolia L.;10,8;9,5;31;74,41;26,8;-3,5;30,3;20,1;2,4;20,1;0,9;924;100;48;21;279;158;279;176;23;106;0
14479;xy.94779;Ambrosia artemisiifolia L.;10,7;9,3;30;75,31;26,9;-3,5;30,4;20,1;2,2;20,1;0,8;933;102;48;22;286;158;286;176;139;178;1
14480;xy.94829;Ambrosia artemisiifolia L.;11,1;9,4;30;74,77;27,4;-3;30,4;20,5;2,7;20,5;1,3;951;101;50;20;280;165;280;185;138;120;0
14481;xy.94831;Ambrosia artemisiifolia L.;11,1;9,4;30;74,77;27,4;-3;30,4;20,5;2,7;20,5;1,3;951;101;50;20;280;165;280;185;138;120;0
14482;xy.94841;Ambrosia artemisiifolia L.;11,1;9,4;30;74,83;27,4;-3,1;30,5;20,5;2,7;20,5;1,2;945;101;50;20;280;163;280;183;71;110;0
14483;xy.94844;Ambrosia artemisiifolia L.;11,1;9,4;30;74,83;27,4;-3,1;30,5;20,5;2,7;20,5;1,2;945;101;50;20;280;163;280;183;199;116;0
14484;xy.94846;Ambrosia artemisiifolia L.;11,1;9,4;30;74,83;27,4;-3,1;30,5;20,5;2,7;20,5;1,2;945;101;50;20;280;163;280;183;26;117;0
14485;xy.94871;Fagus sylvatica L.;10,8;9,4;30;74,85;26,9;-3,5;30,4;20,1;2,3;20,1;0,8;927;101;48;21;283;157;283;174;165;150;1
14486;xy.94884;Ambrosia artemisiifolia L.;10,7;9,5;31;74,69;26,7;-3,6;30,3;20;2,3;20;0,8;921;101;47;22;282;155;282;173;149;139;0
14487;xy.94887;Ambrosia artemisiifolia L.;10,7;9,4;31;74,54;26,7;-3,6;30,3;20;2,3;20;0,8;924;101;47;21;283;156;283;173;165;150;1
14488;xy.94916;Fagus sylvatica L.;6;7,6;28;66,98;20,6;-5,9;26,5;2,4;14;14,5;-2,8;1327;151;88;18;432;282;292;335;244;951;4
14489;xy.94944;Fagus sylvatica L.;7;8,1;29;67,8;22;-5,2;27,2;3,4;15,2;15,6;-1,9;1314;153;83;21;440;269;276;342;121;973;5
14490;xy.94956;Fagus sylvatica L.;6,4;7,8;29;67,12;21,2;-5,6;26,8;2,8;14,5;14,9;-2,4;1321;152;86;19;435;276;285;338;58;954;8
14491;xy.94958;Fagus sylvatica L.;7,7;8,4;30;68,59;22,9;-4,7;27,6;3,9;15,9;16,4;-1,3;1289;151;81;21;432;263;270;336;149;776;3
14492;xy.94959;Fagus sylvatica L.;7,2;8,1;29;67,82;22,2;-5;27,2;3,4;15,3;15,8;-1,7;1305;152;83;20;435;269;276;338;293;865;0
14493;xy.94960;Fagus sylvatica L.;7;8;29;67,57;21,8;-5,1;26,9;3,3;15;15,5;-1,9;1326;154;84;20;442;274;280;343;269;921;6
14494;xy.94967;Fagus sylvatica L.;7,1;8;29;67,73;22,1;-5;27,1;3,4;15,2;15,7;-1,8;1327;154;84;20;443;273;279;344;347;992;4
14495;xy.94971;Fagus sylvatica L.;7,7;8,4;30;68,2;22,9;-4,6;27,5;3,9;15,8;16,3;-1,3;1286;151;82;21;431;264;271;334;256;764;1
14496;xy.94974;Fagus sylvatica L.;8;8,5;30;67,98;23,2;-4,4;27,6;4,1;16;16,5;-1;1279;151;80;21;431;260;265;335;213;712;3
14497;xy.94986;Fagus sylvatica L.;7,3;8,2;30;67,9;22,4;-4,9;27,3;3,6;15,4;15,9;-1,6;1304;152;83;20;435;268;276;338;43;868;0
14498;xy.94992;Fagus sylvatica L.;7;8;29;67,82;22;-5,1;27,1;3,4;15,1;15,6;-1,9;1324;154;84;20;442;272;278;344;258;913;5
14499;xy.95017;Fagus sylvatica L.;10,7;9,3;30;75,31;26,9;-3,5;30,4;20,1;2,2;20,1;0,8;933;102;48;22;286;158;286;176;165;150;1
14500;XY.116267;Fagus sylvatica L.;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;142;498;5
14501;XY.116268;Fagus sylvatica L.;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;142;498;5
14502;XY.116269;Fagus sylvatica L.;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;142;498;5
